Status,Start Time,Stop Time,Duration in ms,Parent Suite,Suite,Sub Suite,Test Class,Test Method,Name,Description
passed,Thu Jan 16 07:53:15 UTC 2025,Thu Jan 16 07:54:53 UTC 2025,98410,Invest Main Testing,Real Android device,tests.invest.automated.A00006.WithdrawAccountForeign,tests.invest.automated.A00006.WithdrawAccountForeign,withdrawAccountForeign,withdrawAccountForeign,
passed,Thu Jan 16 08:24:39 UTC 2025,Thu Jan 16 08:26:38 UTC 2025,118719,FX Main Testing,Real Android device,tests.fx.automated.D00001.CreateBuyApplicationOnlineConvertTest,tests.fx.automated.D00001.CreateBuyApplicationOnlineConvertTest,createBuyApplicationOnlineConvertTest,createBuyApplicationOnlineConvertTest,
passed,Thu Jan 16 08:21:19 UTC 2025,Thu Jan 16 08:22:44 UTC 2025,85103,Invest Main Testing,Real Android device,tests.invest.automated.A00030.AddToFavoriteShare,tests.invest.automated.A00030.AddToFavoriteShare,addToFavoriteShare,addToFavoriteShare,
passed,Thu Jan 16 07:50:52 UTC 2025,Thu Jan 16 07:52:31 UTC 2025,99026,Invest Main Testing,IOS Emulator,tests.invest.automated.A00006.WithdrawAccountForeign,tests.invest.automated.A00006.WithdrawAccountForeign,withdrawAccountForeign,withdrawAccountForeign,
passed,Thu Jan 16 07:26:55 UTC 2025,Thu Jan 16 07:27:48 UTC 2025,53507,Invest Main Testing,Real Android device,tests.invest.automated.A00016.OpenBrokerageAccountCitizenshipReject,tests.invest.automated.A00016.OpenBrokerageAccountCitizenshipReject,openBrokerageAccountCitizenshipReject,openBrokerageAccountCitizenshipReject,
passed,Thu Jan 16 07:39:05 UTC 2025,Thu Jan 16 07:40:28 UTC 2025,83214,Invest Main Testing,Real Android device,tests.invest.automated.A00025.RefillInvestAccountIncorrectSymbols,tests.invest.automated.A00025.RefillInvestAccountIncorrectSymbols,refillInvestAccountIncorrectSymbols,refillInvestAccountIncorrectSymbols,
passed,Thu Jan 16 07:35:00 UTC 2025,Thu Jan 16 07:36:30 UTC 2025,90128,Invest Main Testing,Real Android device,tests.invest.automated.A00014.SellSharesInvalidOTP,tests.invest.automated.A00014.SellSharesInvalidOTP,sellSharesInvalidOTP,sellSharesInvalidOTP,
passed,Thu Jan 16 06:44:45 UTC 2025,Thu Jan 16 06:46:47 UTC 2025,122556,FX Main Testing,IOS Emulator,tests.fx.automated.D00020.CheckRefreshRatePersonalExchangeRateTest,tests.fx.automated.D00020.CheckRefreshRatePersonalExchangeRateTest,checkRefreshRatePersonalExchangeRateTest,checkRefreshRatePersonalExchangeRateTest,
passed,Thu Jan 16 08:31:19 UTC 2025,Thu Jan 16 08:32:46 UTC 2025,87132,FX Main Testing,IOS Emulator,tests.fx.automated.D00016.CreateApplicationPersonalExchangeRateEmptyInputsTest,tests.fx.automated.D00016.CreateApplicationPersonalExchangeRateEmptyInputsTest,createApplicationPersonalExchangeRateEmptyInputsTest,createApplicationPersonalExchangeRateEmptyInputsTest,
passed,Thu Jan 16 07:02:53 UTC 2025,Thu Jan 16 07:03:49 UTC 2025,55957,FX Disabled Testing,IOS Emulator,tests.fx.automated.D00019.CheckDisabledErrorPersonalExchangeRateTest,tests.fx.automated.D00019.CheckDisabledErrorPersonalExchangeRateTest,checkDisabledErrorPersonalExchangeRateTest,checkDisabledErrorPersonalExchangeRateTest,
